Keyword,Assigned Category
Monterey Jack Cheese,Cheese
Gluten-Free Tortillas,Tortillas
French Style Yogurt,"Yogurt, regular"
Biscuit Dough,"Biscuits, muffins, quick breads"
Strawberry Cheesecake Yogurt,"Yogurt, Greek"
Toasted Coconut Almond Milk,Milk substitutes
Soy Milk,Milk substitutes
Vanilla Almond Milk,Milk substitutes
Multi Grain Bread,Yeast breads
Unsweetened Soy Milk,Milk substitutes
Light Greek Strawberry Yogurt,"Yogurt, Greek"
Coconut Beverage,Milk substitutes
Easy Melt Cheese,Cheese
Caramel Flavored Creamer,Cream and cream substitutes
Muenster Cheese,Cheese
Almond Milk Yogurt Alternative,Milk substitutes
Mozzarella String Cheese,Cheese
Frosted Sugar Cookies,Cookies and brownies
Sugar-Free Coffee Creamer,Cream and cream substitutes
Sourdough Bread,Yeast breads
Fat Free Cottage Cheese,Cottage/ricotta cheese
Whipped Cream Cheese Spread,Cream cheese
Yogurt Pouch,"Yogurt, regular"
Reduced Fat Cream Cheese,Cream cheese
Swiss Cheese,Cheese
Cotton Candy Yogurt,"Yogurt, regular"
Cheese Snack Sticks,Cheese
Vanilla Yogurt,"Yogurt, regular"
Baby Swiss Cheese,Cheese
Cultured Dairy Beverage,Other dairy drinks
Light Greek Yogurt,"Yogurt, Greek"
Whipped Butter,Butter and animal fats
Blueberry Yogurt,"Yogurt, regular"
Christmas Tree Cakes,Cakes and pies
Neufchatel Cheese,Cheese
Greek Style Pita,Rolls and buns
Merry Mix Candy,Candy not containing chocolate
Cheddar Cheese Sticks,Cheese
Sugar Free Whipped Topping,Cream and cream substitutes
Rainbow Lollipops,Candy not containing chocolate
Sour Hard Candy,Candy not containing chocolate
Cottage Cheese with Pineapple,Cottage/ricotta cheese
Pizza Crusts,Pizza
Whole Milk Greek Yogurt,"Yogurt, Greek"
Strawberry and Peach Yogurt,"Yogurt, regular"
Juicy Gels,"Gelatins, ices, sorbets"
Mountain Blueberry Yogurt,"Yogurt, regular"
Tamarind Candy,Candy not containing chocolate
Yogurt Variety Pack,"Yogurt, regular"
Fat Free Shredded Cheese,Cheese
Mango Lollipops,Candy not containing chocolate
Irish Butter,Butter and animal fats
Candy Refills,Candy not containing chocolate
Cookies & Cream Greek Yogurt,"Yogurt, Greek"
Strawberry Cheesecake Greek Yogurt,"Yogurt, Greek"
Garlic & Fine Herbs Cheese,Cheese
Nonfat Yogurt,"Yogurt, regular"
Mixed Berry Yogurt,"Yogurt, regular"
Candy Cane Flavored Candy,Candy not containing chocolate
Refrigerated Biscuit Dough,"Biscuits, muffins, quick breads"
Mexican Peanut Candy,Candy not containing chocolate
Squeezable Yogurt,"Yogurt, regular"
Fruit Ice Pops,"Gelatins, ices, sorbets"
Cheese Sticks,Cheese
Gluten-Free Lollipops,Candy not containing chocolate
Queso Fresco,Cheese
Necco Wafers,Candy not containing chocolate
Hello Kitty Candy Egg,Candy containing chocolate
Mango Powder,Dried fruits
Nerds Rope,Candy not containing chocolate
Candy Canes,Candy not containing chocolate
Lollipop Candy,Candy not containing chocolate
Brownie Brittle,Cookies and brownies
Guacamole Cups,Dips
Gluten Free Cookies,Cookies and brownies
Mexican Chili Lollipops,Other Mexican mixed dishes
Cheesecake Mousse Cup,Pudding
Strawberry Smoothies,Smoothies
Pizza Kit,Pizza
Egg Makers,Omelets
Candy Cane Chocolate Bars,Candy containing chocolate
Zero Sugar Vanilla Yogurt,"Yogurt, regular"
Christmas Candy Cane,Candy containing chocolate
Party Pinata Filler,Candy not containing chocolate
Ring Pop,Candy not containing chocolate
Brioche Bread,Yeast breads
Jello Cups,"Gelatins, ices, sorbets"
Sugar-Free Gelatin Snack,"Gelatins, ices, sorbets"
Assorted Chocolates,Candy containing chocolate
Queso Fresco Cheese,Cheese
Havarti Cheese,Cheese
Mixed Berry Greek Yogurt,"Yogurt, Greek"
Light Greek Peach Yogurt,"Yogurt, Greek"
Sugar Free Gum,Candy not containing chocolate
Spray Cheese,Cheese
Orange Rolls,"Biscuits, muffins, quick breads"
Pumpkin Yogurt,"Yogurt, regular"
Candy Box,Candy not containing chocolate
Garlic & Herb Butter,Butter and animal fats
Gelatin,"Gelatins, ices, sorbets"
Refrigerated Biscuits,"Biscuits, muffins, quick breads"
Garlic and Herb Butter Spread,Butter and animal fats
Table Cream,Cream and cream substitutes
Coconut Yogurt,"Yogurt, regular"
Spreadable Butter,Butter and animal fats
Blue Cheese Crumbles,Cheese
Non-Dairy Coffee Creamer,Milk substitutes
Zero Sugar Strawberry Yogurt,"Yogurt, regular"
Light Spread,Margarine
Lollipop Variety Pack,Candy not containing chocolate
Probiotic Yogurt,"Yogurt, regular"
Harvest Mix Candy,Candy not containing chocolate
Fresh Mozzarella,Cheese
Rice Pudding Snack,Pudding
Pepper Jack Cheese Sticks,Cheese
Strawberry Cheesecake Pudding Cups,Pudding
Spreadable Butter Alternative,Margarine
Cheddar Cheese Snack Sticks,Cheese
Heath Candy,Candy containing chocolate
Assorted Chocolate Gift Tin,Candy containing chocolate
Light String Cheese,Cheese
Smoothies Variety Pack,Smoothies
Assorted Chocolate Gift Box,Candy containing chocolate
Strawberry Kefir,"Flavored milk, lowfat"
Sugar-Free Jello Cups,"Gelatins, ices, sorbets"
Green Apple Lollipops,Candy not containing chocolate
Kids Yogurt,"Yogurt, regular"
Keto Friendly Yogurt,"Yogurt, regular"
Vanilla Muffins,"Biscuits, muffins, quick breads"
Peanut Butter & Dark Chocolate Candy,Candy containing chocolate
Milk Chocolate Pecan Delights,Candy containing chocolate
Caramel Pecan Candy,Candy containing chocolate
Toffee Assortment,Candy not containing chocolate
Caramels,Candy not containing chocolate
Go-GURT Yogurt,"Yogurt, regular"
Light Vanilla Yogurt,"Yogurt, regular"
Coconut Greek Yogurt,"Yogurt, Greek"
Italian Cookie Brittle,Cookies and brownies
Dark Chocolate Covered Peanut Gems,Candy containing chocolate
Non-Fat Mango Greek Yogurt,"Yogurt, Greek"
Soft Caramels,Candy not containing chocolate
Rice Pudding,Pudding
Autumn Mix Candy,Candy not containing chocolate
Turtles,Candy containing chocolate
White Chocolate Creamer,Cream and cream substitutes
Peppermint Chocolate Candy Truffles,Candy containing chocolate
Protein Smoothie Yogurt Drink,Other dairy drinks
Peach Greek Yogurt,"Yogurt, Greek"
Christmas Tree Brownies,Cookies and brownies
Kinder Joy Eggs,Candy containing chocolate
Blue Cheese,Cheese
Nonfat Peach Greek Yogurt,"Yogurt, Greek"
Champagne Mix Candy,Candy not containing chocolate
Boston Cream Pie Yogurt,"Yogurt, regular"
Pop Drops,Candy not containing chocolate
Banana Taffy Candy,Candy not containing chocolate
Mr. Goodbar,Candy containing chocolate
Tapioca Pudding,Pudding
Creme De Menthe Thins,Candy containing chocolate
Peppermint Patties Candy,Candy containing chocolate
Meyer Lemon Greek Yogurt,"Yogurt, Greek"
Crème De Menthe,Candy not containing chocolate
Fruit & Nut Chocolate Candy,Candy containing chocolate
Light Yogurt,"Yogurt, regular"
Reese's Peanut Butter Cookie Dough,Cookies and brownies
Low-Fat Greek Yogurt,"Yogurt, Greek"
Cherry Lollipops,Candy not containing chocolate
Kids Yogurt Pack,"Yogurt, regular"
Pecan Chocolate Clusters,Candy containing chocolate
Sugar Free Peppermint Candy,Candy not containing chocolate
Toffee Bar,Candy containing chocolate
Jelly Pumpkins Candy,Candy not containing chocolate
CRUNCH Candy,Candy containing chocolate
Jelly Fruit Candy,Candy not containing chocolate
Bit O Honey,Candy not containing chocolate
Cheesecake Filling,Cakes and pies
Crunchy Peanut Butter Candy,Candy containing chocolate
Mixed Berry Cream Cheese Spread,Cream cheese
Ding Dongs,Cakes and pies
M&M's Minis,Candy containing chocolate
Strawberry Cheesecake Dessert,Cakes and pies
Yogurt Covered Raisins,Dried fruits
Cookie Dough,"Doughnuts, sweet rolls, pastries"
Peanut Butter Bars,Candy not containing chocolate
ZAGNUT Candy,Candy not containing chocolate
Mexican Candy Assortment,Other Mexican mixed dishes
Monterey Jack Queso,Dips
Fruit Candy,Candy not containing chocolate
Popping Candy,Candy not containing chocolate
Assorted Frooties Candy,Candy not containing chocolate
Ring Pop Candy,Candy not containing chocolate
Hard Candy Lollipops,Candy not containing chocolate
Key Lime Pie Yogurt,"Yogurt, regular"
Sugar-Free Chocolate,Candy not containing chocolate
Organic Pops,Candy not containing chocolate
Key Lime Crumble Greek Yogurt,"Yogurt, Greek"
Lemon Drops Candy,Candy not containing chocolate
Lollipop,Candy not containing chocolate
Sweet & Sour Lollipops,Candy not containing chocolate
King Size Candy Bars,Candy containing chocolate
Candy Bar,Candy containing chocolate
Pop Rocks Candy,Candy not containing chocolate
Hard Candy Mix,Candy not containing chocolate
Cream Swirl Lollipops,Candy not containing chocolate
Caramel Filled Chocolate Candy,Candy containing chocolate
Blueberry Greek Yogurt,"Yogurt, Greek"
Organic Lollipops,Candy not containing chocolate
Strawberry Filled Candies,Candy containing chocolate
Spice Drops,Candy not containing chocolate
Baby Bottle Pop,Candy not containing chocolate
Amaretto Coffee Creamer,Cream and cream substitutes
Peanut Butter Candy Bars,Candy containing chocolate
Peppermint Bark Chocolate Squares,Candy containing chocolate
Snack Cheese,Cheese
Smoked Gouda Cheese,Cheese
Snickers,Candy containing chocolate
Assorted Pops,Candy not containing chocolate
ZAGNUT Candy Bar,Candy not containing chocolate
Cinnamon Hard Candy,Candy not containing chocolate
Chocolate Assortment,Candy containing chocolate
Milk Chocolate Caramel Squares,Candy containing chocolate
Zero Sugar Blueberry Yogurt,"Yogurt, regular"
Mexican Candy Mix,Other Mexican mixed dishes
Corn Tostadas,"Tortilla, corn, other chips"
Peanut Butter Chocolate Bar,Candy containing chocolate
White Chocolate Squares,Candy containing chocolate
Oat Milk Chocolate Bar,Candy containing chocolate
Peppermint Bark,Candy containing chocolate
Biscuits,"Biscuits, muffins, quick breads"
Take5 Candy Bars,Candy containing chocolate
Lemon Candy,Candy not containing chocolate
Jelly Candy,Candy not containing chocolate
Yogurt Raisins,Dried fruits
Kinder Bueno,Candy containing chocolate
Peanut M&M's,Candy containing chocolate
Peppermint Bark Bar,Candy containing chocolate
Chocolate Santas,Candy containing chocolate
Cinnamon Sugar Butter Spread,Butter and animal fats
String Mozzarella Cheese,Cheese
Kinder JOY Egg,Candy containing chocolate
Caramel Chocolate Truffles,Candy containing chocolate
Aged White Cheddar Cheese,Cheese
Fat-Free Cheese,Cheese
Probiotic Greek Yogurt,"Yogurt, Greek"
Santa Milk Chocolate,Candy containing chocolate
Assorted Chocolate Truffles,Candy containing chocolate
Half and Half Creamer,Cream and cream substitutes
Cinnamon Gummies,Candy not containing chocolate
Soft Wheat Bread,Yeast breads
Cherry Candy,Candy not containing chocolate
Hot Tamales,Candy not containing chocolate
Assorted Muffins,"Biscuits, muffins, quick breads"
Twizzlers Twists,Candy not containing chocolate
Devil Squares Cakes,Cakes and pies
Prepared Horseradish,Mustard and other condiments
Starburst Candy,Candy not containing chocolate
Milk Chocolate Bunnies,Candy containing chocolate
Peppermint Mocha Coffee Creamer,Cream and cream substitutes
Vanilla Midgees,Candy not containing chocolate
Twix Caramel Miniature,Candy containing chocolate
Bit-O-Honey Candy,Candy not containing chocolate
Caramel Macchiato Creamer,Cream and cream substitutes
Milk Chocolate Bunny,Candy containing chocolate
Colby-Pepper Jack Cheese,Cheese
Tamarindo Candy,Candy not containing chocolate
Chocolate Candy Bar,Candy containing chocolate
Greek Blueberry Yogurt,"Yogurt, Greek"
Kinder Chocolate,Candy containing chocolate
Rainbow Ropes,Candy not containing chocolate
White Bread Dough,Yeast breads
Gummies,Candy not containing chocolate
Sweet Roll,"Doughnuts, sweet rolls, pastries"
Pink Chewy Candy,Candy not containing chocolate
Peppermint Pattie,Candy containing chocolate
Peanut Butter Bunny,Candy containing chocolate
Watermelon Gummi Candy,Candy not containing chocolate
Mixed Fruit Candy,Candy not containing chocolate
Chocolate Croissants,Turnovers and other grain-based items
Milk Chocolate Easter Eggs,Candy containing chocolate
Dark Chocolate Eggs,Candy containing chocolate
Twizzlers,Candy not containing chocolate
Candy Coated Chocolate,Candy containing chocolate
Quesadilla Cheese,Cheese
Olive Oil Spread,Margarine
Gummi Worms,Candy not containing chocolate
Candy,Candy not containing chocolate
Chocolate Covered Candy,Candy containing chocolate
Sugar-Free Pudding Cups,Pudding
Christmas Candy,Candy containing chocolate
Wraps,Tortillas
Milk Chocolate Minis,Candy containing chocolate
Nut Cluster Bites,Nutritional beverages
Caramel Chocolate,Candy containing chocolate
Milky Way Candy,Candy containing chocolate
Solid Chocolate Bunny,Candy containing chocolate
Rolo Candy,Candy containing chocolate
Peanut Butter Delight Crunch Greek Yogurt,"Yogurt, Greek"
Light Butter,Butter and animal fats
Sugar Free Gummi Bears,Candy not containing chocolate
Almond Milk Chocolate Candy,Candy containing chocolate
Cashew Butter Chocolate,Nutrition bars
Roast Almond Chocolate Candy,Candy containing chocolate
Sour Gummi Candy,Candy not containing chocolate
Light Cherry Yogurt,"Yogurt, regular"
Shredded Parmesan Cheese,Cheese
Sugar-Free Dark Chocolate Mint Patties,Candy not containing chocolate
Chewy Caramels,Candy not containing chocolate
Assorted Fruit Candy,Candy not containing chocolate
Pink Fruit Chews Candy,Candy not containing chocolate
Dark Chocolate with Almonds Candy,Candy containing chocolate
Sugar-Free Fruit Chews,Candy not containing chocolate
Lemon Candies,Candy not containing chocolate
Rainbow Candy,Candy not containing chocolate
Pimento Cheese,Cheese
Apple Smoked Gouda Cheese,Cheese
Mint Swirl Dark Chocolate Candy,Candy containing chocolate
Toffifay Candy,Candy containing chocolate
Almond Joy Coffee Creamer,Cream and cream substitutes
Swedish Fish,Candy not containing chocolate
Light Strawberry Banana Yogurt,"Yogurt, regular"
Toasted White Bread,Yeast breads
Banana Candy Bar,Candy not containing chocolate
Puff Pastry Dough,Turnovers and other grain-based items
Strawberry Banana Smoothies,Smoothies
Now & Later Candy,Candy not containing chocolate
Strawberries in Dark Chocolate,Candy containing chocolate
Cauliflower Pizza Crust,Pizza
White Chocolate Bar,Candy containing chocolate
Watermelon Taffy Chews,Candy not containing chocolate
Mascarpone Cheese,Cheese
Dark Chocolate with Almonds,Candy containing chocolate
Pizza Dough Mix,Pizza
Chocolatey Toffee Candy,Candy containing chocolate
HI-CHEW,Candy not containing chocolate
Melatonin Jelly Beans,Candy not containing chocolate
Cookie Dough Bites,Cookies and brownies
Gummi Cubs,Candy not containing chocolate
Carb Counter Tortillas,Tortillas
Cinnamon Bears Candies,Candy not containing chocolate
Sugar-Free Licorice Twists,Candy not containing chocolate
Honey Nut Cheerios,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Keto Snack,Nutrition bars
Sour Gummy Worm Candy,Candy not containing chocolate
Peanut Dark Chocolate Candy,Candy containing chocolate
Chocolate Covered Caramel Candy,Candy containing chocolate
Mini Chocolate Bars,Candy containing chocolate
Blueberries,Blueberries and other berries
Toasted Bread,Yeast breads
King Size Candy Bar,Candy containing chocolate
Gummy Worm Candy,Candy not containing chocolate
Quinoa Snack,Pretzels/snack mix
Starburst,Candy not containing chocolate
Plant Based Peanut Butter Cups,Candy containing chocolate
Sour Fruit Chews,Candy not containing chocolate
Baked Potato Chips,Potato chips
Milk Chocolate Crunch Bar,Candy containing chocolate
Sweetarts Ropes,Candy not containing chocolate
Sour Gummy Candy,Candy not containing chocolate
Fun Dip,Candy not containing chocolate
Almond Chocolate Bar,Nutrition bars
Laffy Taffy,Candy not containing chocolate
Triple Chocolate KAZBARS,Nutrition bars
Dark Chocolate Coconut Bars,Candy containing chocolate
Mellowcreme Pumpkins Candy,Candy not containing chocolate
Soft Chewy Candy,Candy not containing chocolate
Beef Soup,Soups
Coconut Milk Caramels,Candy not containing chocolate
Gluten-Free Potato Chips,Potato chips
Surprise Egg,Candy not containing chocolate
Grinch Chocolate Candy,Candy containing chocolate
Gluten-Free Rice Crisps,Rice
Gluten-Free Potato Crisps,Potato chips
Peanut Candy Bar,Candy not containing chocolate
5th Avenue Candy,Candy containing chocolate
Pumpkin Spice Candy,Candy not containing chocolate
Berry Clouds,Candy not containing chocolate
Goldbears Wild Berry,Candy not containing chocolate
Four Cheese Alfredo Sauce,"Pasta sauces, tomato-based"
Licorice,Candy not containing chocolate
Dark Chocolate Bars,Candy containing chocolate
Sugar-Free Dark Chocolate Pecan Delights,Candy not containing chocolate
Caramel Bites,Candy not containing chocolate
Watermelon Gummy Rings,Candy not containing chocolate
Cinnamon Bears,Candy not containing chocolate
S'mores,Candy containing chocolate
Halloween Gummy Candy,Candy not containing chocolate
Chocolate Covered Cherries,Candy containing chocolate
Grape Candy,Candy not containing chocolate
Lunchables Pizza Kit,Pizza
Pecan Candy,Candy not containing chocolate
Froot Loops Gummies,Candy not containing chocolate
Cherry Mash Candy,Candy not containing chocolate
Chunk Chicken Breast,"Chicken patties, nuggets and tenders"
Pretzel Candy,Pretzels/snack mix
Macaroni & Cheese Candy,Macaroni and cheese
Almond Crush Pocky,Cookies and brownies
Dark Chocolate Almond Candy,Candy containing chocolate
Ginger Chews,Candy not containing chocolate
Cherry Cordial Flavored Chocolate Candy,Candy containing chocolate
Dark Chocolate Almond Snacking Chocolate,Candy containing chocolate
Sugar-Free Jelly Beans,Candy not containing chocolate
Licorice Drops,Candy not containing chocolate
Starburst Airs,Candy not containing chocolate
Salted Caramel Chocolate Bar,Candy containing chocolate
Dark Chocolate Sea Salt Caramels,Candy containing chocolate
Sugar-Free Dark Chocolate,Candy not containing chocolate
Strawberry Gummy Bears,Candy not containing chocolate
Banana Bites,Dried fruits
Payday Bar,Candy not containing chocolate
Zero Sugar Gummies,Candy not containing chocolate
Sugar-Free Dark Chocolate Candy,Candy not containing chocolate
Harvest Corn Candy,Candy not containing chocolate
Almond Candy Bar,Candy containing chocolate
Chewy Candy Bites,Candy not containing chocolate
Chamoy Candy,Candy not containing chocolate
Licorice Allsorts,Candy not containing chocolate
Taffy Chews,Candy not containing chocolate
Spaghetti Sauce,"Pasta sauces, tomato-based"
Sweetarts Candy,Candy not containing chocolate
Fruit Bites,Other fruits and fruit salads
Almond Dark Chocolate Bars,Nutrition bars
Kids Gummies,Nutrition bars
Assorted Taffy Chews,Candy not containing chocolate
Gummy Sushi,Candy not containing chocolate
Twix Candy,Candy containing chocolate
Green Apple Gummy Bears,Candy not containing chocolate
Gummy Pizza,Other Mexican mixed dishes
Tamarind Gummy Candy,Candy containing chocolate
Rope Candy,Candy not containing chocolate
Corn Tortilla Chips,"Tortilla, corn, other chips"
Cordial Cherries,Candy containing chocolate
Cookies & Cream White Chocolate Style Bars,Nutrition bars
Gluten-Free Snack Box,Nutrition bars
White Chocolate Candy Bar,Candy containing chocolate
VegoBears,Candy not containing chocolate
Milk Chocolate Caramel Candy,Candy containing chocolate
Dark Chocolate Dipped Almonds,Nuts and seeds
Chewy Fusions,Nutrition bars
Chicken Stock,Soups
Licorice Jelly Beans,Candy not containing chocolate
Organic Snack Packs,Nutrition bars
Vegetable Juice,Vegetable juice
Tootsie Rolls,Candy not containing chocolate
Flavored Fruit Chews,Candy not containing chocolate
Hazelnut Spread with Pretzel Sticks,Nutritional beverages
Twix Minis,Candy containing chocolate
Blackberry Candy Corn,Candy not containing chocolate
Hot Cocoa Flavored Chocolate Candy,Candy containing chocolate
Sour Apple Candy,Candy not containing chocolate
Creamy Candy,Candy not containing chocolate
Holiday Candy,Candy not containing chocolate
Coconut Melts,Candy containing chocolate
Chili Cheese Corn Chips,"Tortilla, corn, other chips"
Variety Mix,Nutrition bars
100 Grand Candy Bar,Candy containing chocolate
Chicken & Crackers Kit,Deli and cured meat sandwiches
Lemon Lime Flavor Beverage Mix,Flavored or carbonated water
Sour Gummy Treats,Candy not containing chocolate
Pepsi Zero Sugar Flavor Mix,Other diet drinks
Pumpkin Candy,Candy not containing chocolate
Chocolate Covered Raisins,Candy containing chocolate
Sauerkraut,Pickled vegetables
SodaStream Beverage Mix,Flavored or carbonated water
Milk Chocolate,Candy containing chocolate
Liquid Water Enhancer,Enhanced water
Candied Ginger,Dried fruits
Buttered Popcorn Jelly Beans,Candy not containing chocolate
Twix Cookie Dough,Candy containing chocolate
Sugar-Free Candy Beans,Candy not containing chocolate
Sugar Cookie Candy,Candy not containing chocolate
Airheads Candy,Candy not containing chocolate
Biotin Jelly Beans,Candy not containing chocolate
Chocolate Coconut Treat Bar,Nutrition bars
Strawberry Guava,"Flavored milk, nonfat"
Snacking Chocolate,Candy containing chocolate
Crispy Wafers,Cookies and brownies
Baked Cheese Snacks,Pretzels/snack mix
Sugar-Free Fruit Punch Drink Mix,Other diet drinks
Zero Sugar Chocolate with Almonds Candy,Candy not containing chocolate
Blue Raspberry Sparkling Water,Flavored or carbonated water
Hazelnut Chocolate Bar,Candy containing chocolate
Sugar-Free Hard Candies,Candy not containing chocolate
Pineapple Coconut Sparkling Water,Flavored or carbonated water
Mandarin Orange Sparkling Water,Flavored or carbonated water
Chocolate Cone,Candy containing chocolate
Cherry Slush Drink Mix,Nutritional beverages
Milk Chocolate Snacks,Candy containing chocolate
Chewy Granola Bars,Cereal bars
Rapid Rise Yeast,Yeast breads
Milk Chocolate Marshmallow Ornament,Candy containing chocolate
Sugar-Free Orange Drink Mix,Other diet drinks
Swiss Dark Chocolate,Candy containing chocolate
Dr. Pete Flavor Mix,Other diet drinks
Flavored Sparkling Water,Flavored or carbonated water
Watermelon Flavored Water,Flavored or carbonated water
Almond Milk Chocolate,Candy containing chocolate
Cookie Dough Chocolate Bar,Candy containing chocolate
Hershey's Hugs,Candy containing chocolate
Lightly Salted Potato Chips,Potato chips
Dark Chocolate Covered Coffee Beans,Candy containing chocolate
Peach Drink Mix,Flavored or carbonated water
Chocolate Sticks,Candy containing chocolate
Duvalin,Candy not containing chocolate
Sparkling Ice Variety Pack,Flavored or carbonated water
Milk Chocolate with Hazelnuts,Candy containing chocolate
Gluten-Free Puff Corn,"Tortilla, corn, other chips"
Honey BBQ Corn Chips,"Tortilla, corn, other chips"
Blood Orange Sparkling Water,Flavored or carbonated water
Wonder Ball,Candy containing chocolate
Flavored Drink Mix,Other diet drinks
Milk Chocolate Cherry Squares,Candy containing chocolate
Pink Lemonade Drink Mix,Fruit drinks
Raspberry Sticks,Candy not containing chocolate
Bridge Mix,Candy containing chocolate
Sparkling Water Beverage,Flavored or carbonated water
Chocolate Covered Nuts,Candy containing chocolate
Kit Kat Miniatures,Candy containing chocolate
FIJI Water,Bottled water
Glucerna Mini Treats,Nutrition bars
Assorted Chocolate Candy Bars,Candy containing chocolate
Water Drops,Flavored or carbonated water
Dark Chocolate Orange Sticks,Candy containing chocolate
Raspberry Lime Sparkling Water,Flavored or carbonated water
Dark Chocolate with Hazelnuts,Candy containing chocolate
Sparkling Seltzer Water,Flavored or carbonated water
Fruit Pouch,Other fruits and fruit salads
Fruit Water,Flavored or carbonated water
Sweet Chocolate,Candy containing chocolate
Chocolate Truffles,Candy containing chocolate
Electrolyte Powder Packet Drink Mix,Nutritional beverages
Sparkling Water Flavor Mix,Flavored or carbonated water
Hydration Multiplier,Nutrition bars
Raspberry Pink Lemonade Sparkling Water,Flavored or carbonated water
White Creme Peanut Butter Trees,Candy containing chocolate
Raspberries in Dark Chocolate,Candy containing chocolate
Baby Ruth,Candy containing chocolate
Toblerone Chocolate Bar,Candy containing chocolate
Passion Fruit Juice Syrup,Other fruit juice
Tart Cherry Juice Concentrate,Other fruit juice
Raspberry Iced Tea Drink Mix,Flavored or carbonated water
Birch Water,Enhanced water
Raspberry Lemonade Birch Water,Flavored or carbonated water
Cream Soda,Soft drinks
Lemon Lime Soda,Soft drinks
Primo Water,Bottled water
Citrus Flavored Soda,Soft drinks
Citrus Soda,Soft drinks
Dr Thunder,Soft drinks
Diet Citrus Soda,Diet soft drinks
Organic Popcorn,Popcorn
Grape Sports Drink,Sport and energy drinks
Chicken Bone Broth,Soups
Cola,Soft drinks
Fruit Punch Sports Drink,Sport and energy drinks
Packaged Water,Bottled water
Restful Sleep Beverage,Nutritional beverages
Kettle Corn,Popcorn
Cherry Cola,Soft drinks
Pineapple Hydration,Enhanced water
Alkaline Spring Water,Bottled water
Diet Cola,Diet soft drinks
Sticky White Rice Bowls,Rice mixed dishes
Mini Soda Pop,Soft drinks
Purified Bottled Water,Bottled water
Cherry Soda,Soft drinks
Gatorade Drink Mix,Sport and energy drinks
POWERADE,Sport and energy drinks
Cherry Vanilla Soda,Soft drinks
Caffeine-Free Diet Soda,Diet soft drinks
Cherry Coke Zero Sugar,Diet soft drinks
Zero Calorie Water Beverage,Enhanced water
Ice Pop,Ice cream and frozen dairy desserts
Grape Soda,Soft drinks
Sports Drink Mix,Sport and energy drinks
Spicy Vegetable Juice,Vegetable juice
Rice Crackers,"Crackers, excludes saltines"
Mini Cans,Soft drinks
Vanilla Coca Cola,Soft drinks
Diet Coke,Diet soft drinks
Flavored Mineral Water,Flavored or carbonated water
Strawberry Watermelon Drink,Flavored or carbonated water
Coca-Cola Zero Sugar,Diet soft drinks
Sports Drinks,Sport and energy drinks
Lemon Water Beverage,Flavored or carbonated water
Flavored Water Beverage,Flavored or carbonated water
Energy Beverage,Sport and energy drinks
Hydration Beverage,Nutritional beverages
Coca Cola Bottle,Soft drinks
Sport Drink,Sport and energy drinks
Pedialyte Electrolyte Solution,Nutritional beverages
Rice Snacks,"Crackers, excludes saltines"
Mandarin Soda,Soft drinks
Raspberry Lemonade Kombucha,Other diet drinks
Spearmint Herbal Tea,Tea
Red Curry Paste,Other sauces
Cinnamon Apple Spice Tea,Tea
Chamomile Herbal Tea,Tea
Bubble Tea,Grain drinks
Tea Bags,Tea
Herbal Tea,Tea
Chai Tea,Tea
Sweetened Black Tea,Other fruit juice
Fruit Punch Soda,Fruit drinks
Strawberry Vanilla Soda,Soft drinks
Ramune Strawberry,Flavored or carbonated water
Zero Sugar Diet Tea,Diet soft drinks
Apple Soda,Soft drinks
Iced Tea Drink,Flavored or carbonated water
Tamarind Soda,Soft drinks
Mango Orange Drink,Fruit drinks
Iced Black Tea,Tea
Peppermint Herbal Tea,Tea
Southern Sweet Black Tea,Tea
Bacon Jerky,Cured meats
Ramune,Other diet drinks
Sweet Black Iced Tea,Tea
Ramune Melon,Flavored or carbonated water
Zero Sugar Flavored Beverage,Flavored or carbonated water
Sidral Mundet Soda,Soft drinks
Raspberry Herbal Tea,Tea
Malt Beverage,Nutritional beverages
Lime Soda,Soft drinks
Zero Calorie Soda,Diet soft drinks
Ginger Root Beer,Soft drinks
Grapefruit Soda,Soft drinks
Sangria Senorial,Flavored or carbonated water
Italian Dry Salami,Cured meats
Ginger Beer Flavored Soda,Soft drinks
Zero Calorie Energy Drink,Diet sport and energy drinks
Almond Nut Thins,"Crackers, excludes saltines"
Sea Salt and Vinegar Potato Chips,Potato chips
Barbeque Potato Chips,Potato chips
Jasmine Green Tea,Tea
Oolong Tea,Tea
Iced Tea,Tea
Passion Fruit Soda,Soft drinks
Arnold Palmer Lite Half & Half,Tea
Diet Pepsi Flavor Mix,Other diet drinks
Lemon Tea,Tea
Zero Sugar Iced Tea,Diet soft drinks
Steak Strips,"Beef, excludes ground"
Nitro Cold Brew Coffee,Coffee
Strawberry Melon Iced Tea,Flavored or carbonated water
Cranberry Ginger Ale,Soft drinks
Half & Half Iced Tea & Lemonade,Tea
Ketogenic Coffee Mix,Coffee
Prickly Pear Juice,Other fruit juice
Flavored Spring Water,Flavored or carbonated water
Organic Nutrition Shake,Milk shakes
Stur,Flavored or carbonated water
C4 Energy,Diet sport and energy drinks
Keto Coffee,Coffee
Fruit Juice Pouches,Fruit drinks
Sparkling Yerba Mate,Flavored or carbonated water
Mini Soda,Fruit drinks
Fruit Punch Drink,Fruit drinks
Berry Punch Fruit Drink,Fruit drinks
Cucumber Mint Flavored Water,Flavored or carbonated water
